gene_name,epoch,loss
ATP2A2,9,0.9463834
ATP2A2,19,0.94575036
ATP2A2,29,0.94498193
ATP2A2,39,0.9439285
ATP2A2,49,0.94233364
ATP2A2,59,0.93984884
ATP2A2,69,0.93633366
ATP2A2,79,0.93294483
ATP2A2,89,0.93125135
ATP2A2,99,0.9305261
ATP2A2,109,0.93019485
ATP2A2,119,0.9300523
ATP2A2,129,0.9299643
ATP2A2,139,0.92990965
ATP2A2,149,0.92987627
ATP2A2,159,0.9298553
ATP2A2,169,0.9298403
ATP2A2,179,0.9298301
ATP2A2,189,0.9298228
ATP2A2,199,0.92981786
ATP2A2,209,0.9298149
ATP2A2,219,0.929813
ATP2A2,229,0.9298117
ATP2A2,239,0.9298111
ATP2A2,249,0.9298111
ATP2A2,259,0.9298118
ATP2A2,269,0.929813
