gene_name,epoch,loss
C17orf49,9,0.7792661
C17orf49,19,0.77726346
C17orf49,29,0.774118
C17orf49,39,0.7689978
C17orf49,49,0.76192033
C17orf49,59,0.7566824
C17orf49,69,0.7540548
C17orf49,79,0.75347984
C17orf49,89,0.75346416
C17orf49,99,0.7533533
C17orf49,109,0.75315714
C17orf49,119,0.7530354
C17orf49,129,0.75297284
C17orf49,139,0.75292045
C17orf49,149,0.752875
C17orf49,159,0.7528428
C17orf49,169,0.7528187
C17orf49,179,0.7527994
C17orf49,189,0.75278467
C17orf49,199,0.75277346
C17orf49,209,0.75276494
C17orf49,219,0.75275856
C17orf49,229,0.7527539
C17orf49,239,0.7527504
C17orf49,249,0.7527479
C17orf49,259,0.7527464
C17orf49,269,0.7527454
C17orf49,279,0.75274473
C17orf49,289,0.75274414
C17orf49,299,0.7527442
C17orf49,309,0.75274473
C17orf49,319,0.75274557
