gene_name,epoch,loss
CSDE1,9,0.6766731
CSDE1,19,0.67549646
CSDE1,29,0.67408097
CSDE1,39,0.67207277
CSDE1,49,0.6688916
CSDE1,59,0.6635935
CSDE1,69,0.65580565
CSDE1,79,0.64955616
CSDE1,89,0.6429555
CSDE1,99,0.6393613
CSDE1,109,0.6393537
CSDE1,119,0.63981986
CSDE1,129,0.6395849
CSDE1,139,0.6392578
CSDE1,149,0.6392115
CSDE1,159,0.63919
CSDE1,169,0.63910747
CSDE1,179,0.63905656
CSDE1,189,0.63903356
CSDE1,199,0.6390067
CSDE1,209,0.6389848
CSDE1,219,0.6389711
CSDE1,229,0.63896
CSDE1,239,0.63895136
CSDE1,249,0.6389453
CSDE1,259,0.63894093
CSDE1,269,0.6389378
CSDE1,279,0.63893574
CSDE1,289,0.6389345
CSDE1,299,0.6389338
CSDE1,309,0.63893354
CSDE1,319,0.6389336
CSDE1,329,0.6389339
CSDE1,339,0.63893443
