gene_name,epoch,loss
ELAVL1,9,0.9389935
ELAVL1,19,0.93822455
ELAVL1,29,0.93724865
ELAVL1,39,0.9357564
ELAVL1,49,0.9332742
ELAVL1,59,0.92892945
ELAVL1,69,0.9219264
ELAVL1,79,0.91530526
ELAVL1,89,0.9128268
ELAVL1,99,0.91249573
ELAVL1,109,0.9125552
ELAVL1,119,0.91242975
ELAVL1,129,0.91224724
ELAVL1,139,0.9121521
ELAVL1,149,0.9121021
ELAVL1,159,0.9120548
ELAVL1,169,0.912015
ELAVL1,179,0.9119869
ELAVL1,189,0.9119648
ELAVL1,199,0.91194576
ELAVL1,209,0.91193134
ELAVL1,219,0.9119203
ELAVL1,229,0.91191167
ELAVL1,239,0.91190493
ELAVL1,249,0.91189957
ELAVL1,259,0.91189575
ELAVL1,269,0.9118931
ELAVL1,279,0.91189116
ELAVL1,289,0.9118901
ELAVL1,299,0.91188943
ELAVL1,309,0.9118894
ELAVL1,319,0.91188973
ELAVL1,329,0.91189015
ELAVL1,339,0.9118909
