gene_name,epoch,loss
NGDN,9,0.9040061
NGDN,19,0.9020593
NGDN,29,0.89898556
NGDN,39,0.8939221
NGDN,49,0.88663346
NGDN,59,0.88064307
NGDN,69,0.8781183
NGDN,79,0.8777216
NGDN,89,0.87779623
NGDN,99,0.8776979
NGDN,109,0.877485
NGDN,119,0.877363
NGDN,129,0.87731177
NGDN,139,0.87726533
NGDN,149,0.8772199
NGDN,159,0.877187
NGDN,169,0.8771629
NGDN,179,0.87714314
NGDN,189,0.8771272
NGDN,199,0.8771146
NGDN,209,0.8771047
NGDN,219,0.8770968
NGDN,229,0.87709063
NGDN,239,0.87708557
NGDN,249,0.877082
NGDN,259,0.8770792
NGDN,269,0.87707716
NGDN,279,0.87707597
NGDN,289,0.87707525
NGDN,299,0.8770749
NGDN,309,0.87707484
NGDN,319,0.87707525
NGDN,329,0.8770757
NGDN,339,0.8770764
