gene_name,epoch,loss
RAB6A,9,0.6684971
RAB6A,19,0.6670222
RAB6A,29,0.66514057
RAB6A,39,0.6623098
RAB6A,49,0.65784276
RAB6A,59,0.6509795
RAB6A,69,0.64275193
RAB6A,79,0.63685113
RAB6A,89,0.63181496
RAB6A,99,0.6303006
RAB6A,109,0.6303333
RAB6A,119,0.63036484
RAB6A,129,0.6301509
RAB6A,139,0.6299961
RAB6A,149,0.6299151
RAB6A,159,0.6298362
RAB6A,169,0.6297695
RAB6A,179,0.6297221
RAB6A,189,0.6296823
RAB6A,199,0.62964916
RAB6A,209,0.62962353
RAB6A,219,0.6296028
RAB6A,229,0.62958604
RAB6A,239,0.6295728
RAB6A,249,0.6295624
RAB6A,259,0.62955403
RAB6A,269,0.6295475
RAB6A,279,0.6295426
RAB6A,289,0.6295388
RAB6A,299,0.6295359
RAB6A,309,0.6295339
RAB6A,319,0.6295324
RAB6A,329,0.6295314
RAB6A,339,0.6295308
RAB6A,349,0.6295305
RAB6A,359,0.6295305
RAB6A,369,0.62953067
RAB6A,379,0.6295311
