gene_name,epoch,loss
STX18,9,0.9137482
STX18,19,0.9135023
STX18,29,0.91327775
STX18,39,0.9130358
STX18,49,0.9127457
STX18,59,0.9123724
STX18,69,0.9118676
STX18,79,0.9111681
STX18,89,0.9101823
STX18,99,0.9088048
STX18,109,0.90700495
STX18,119,0.9050404
STX18,129,0.9035005
STX18,139,0.9027179
STX18,149,0.902442
STX18,159,0.90236336
STX18,169,0.9023336
STX18,179,0.90231174
STX18,189,0.9022948
STX18,199,0.90228355
STX18,209,0.9022778
STX18,219,0.902276
STX18,229,0.9022757
STX18,239,0.902277
STX18,249,0.90227956
STX18,259,0.90228254
