gene_name,epoch,loss
TRIM2,9,0.6224717
TRIM2,19,0.62050706
TRIM2,29,0.6179892
TRIM2,39,0.6141987
TRIM2,49,0.6081177
TRIM2,59,0.59876513
TRIM2,69,0.59105986
TRIM2,79,0.5890356
TRIM2,89,0.5889666
TRIM2,99,0.5889855
TRIM2,109,0.5887319
TRIM2,119,0.58858025
TRIM2,129,0.5885298
TRIM2,139,0.588475
TRIM2,149,0.58843356
TRIM2,159,0.58840996
TRIM2,169,0.5883903
TRIM2,179,0.58837575
TRIM2,189,0.58836603
TRIM2,199,0.5883585
TRIM2,209,0.58835286
TRIM2,219,0.588349
TRIM2,229,0.588346
TRIM2,239,0.5883438
TRIM2,249,0.58834225
TRIM2,259,0.588341
TRIM2,269,0.58834016
TRIM2,279,0.5883395
TRIM2,289,0.58833915
TRIM2,299,0.58833903
TRIM2,309,0.58833885
TRIM2,319,0.588339
TRIM2,329,0.5883391
TRIM2,339,0.5883393
